transaction_id,truck_id,employee_id,cost,liters,cost_per_liter,expected_cost,date_time,month
1,1,1,463.5495883608549,132.44273953167283,3.5,463.5495883608549,2025-04-10,2025-04
2,2,1,1106.8382274199375,316.2394935485536,3.5,1106.8382274199375,2025-04-10,2025-04
3,3,1,562.1993617516912,160.62838907191176,3.5,562.1993617516912,2025-04-10,2025-04
4,4,1,631.6425475681053,180.46929930517297,3.5,631.6425475681053,2025-04-10,2025-04
5,5,1,1185.718169628965,338.77661989398996,3.5,1185.718169628965,2025-04-10,2025-04
6,6,1,874.104360769309,249.74410307694544,3.5,874.104360769309,2025-04-10,2025-04
7,7,1,944.534031115078,269.86686603287944,3.5,944.534031115078,2025-04-10,2025-04
8,8,1,677.3417111302449,193.52620318006996,3.5,677.3417111302449,2025-04-10,2025-04
9,9,1,691.0655485879394,197.4472995965541,3.5,691.0655485879394,2025-04-10,2025-04
10,10,1,985.8505353332387,281.6715815237825,3.5,985.8505353332387,2025-04-10,2025-04
12,1,10,86.8,24.8,3.5,86.8,2025-04-10,2025-04
14,4,6,28.956666666666667,8.273333333333333,3.5,28.956666666666667,2025-04-10,2025-04
16,7,2,51.59,14.74,3.5,51.59,2025-04-10,2025-04
18,10,8,114.59,32.74,3.5,114.59,2025-04-10,2025-04
20,1,10,54.83333333333333,15.666666666666666,3.5,54.83333333333333,2025-04-10,2025-04
22,4,6,11.433333333333335,3.266666666666667,3.5,11.433333333333335,2025-04-10,2025-04
24,7,2,45.01,12.86,3.5,45.01,2025-04-10,2025-04
26,10,8,45.01,12.86,3.5,45.01,2025-04-10,2025-04
28,1,10,51.59,14.74,3.5,51.59,2025-04-10,2025-04
30,4,6,97.55666666666667,27.873333333333335,3.5,97.55666666666667,2025-04-10,2025-04
32,7,2,84.09333333333333,24.026666666666667,3.5,84.09333333333333,2025-04-10,2025-04
34,10,8,83.23,23.78,3.5,83.23,2025-04-10,2025-04
36,1,10,81.41000000000001,23.26,3.5,81.41000000000001,2025-04-10,2025-04
38,4,6,55.90666666666667,15.973333333333334,3.5,55.90666666666667,2025-04-10,2025-04
40,7,2,16.426666666666666,4.693333333333333,3.5,16.426666666666666,2025-04-10,2025-04
42,10,8,114.59,32.74,3.5,114.59,2025-04-10,2025-04
44,1,10,2.4033333333333333,0.6866666666666666,3.5,2.4033333333333333,2025-04-10,2025-04
46,4,6,51.42666666666667,14.693333333333333,3.5,51.42666666666667,2025-04-10,2025-04
48,7,2,81.41000000000001,23.26,3.5,81.41000000000001,2025-04-10,2025-04
50,10,8,9.123333333333335,2.606666666666667,3.5,9.123333333333335,2025-04-10,2025-04
51,1,1,504.7982226059298,144.22806360169423,3.5,504.7982226059298,2025-04-11,2025-04
52,10,1,1081.3972716295802,308.97064903702295,3.5,1081.3972716295802,2025-04-11,2025-04
54,2,5,90.58,25.88,3.5,90.58,2025-04-11,2025-04
56,3,4,2.4033333333333333,0.6866666666666666,3.5,2.4033333333333333,2025-04-11,2025-04
58,5,3,51.42666666666667,14.693333333333333,3.5,51.42666666666667,2025-04-11,2025-04
60,6,9,45.01,12.86,3.5,45.01,2025-04-11,2025-04
62,8,1,83.23,23.78,3.5,83.23,2025-04-11,2025-04
64,9,7,51.42666666666667,14.693333333333333,3.5,51.42666666666667,2025-04-11,2025-04
66,1,10,9.123333333333335,2.606666666666667,3.5,9.123333333333335,2025-04-11,2025-04
68,4,6,54.83333333333333,15.666666666666666,3.5,54.83333333333333,2025-04-11,2025-04
70,7,2,37.846666666666664,10.813333333333333,3.5,37.846666666666664,2025-04-11,2025-04
72,10,8,45.45333333333333,12.986666666666666,3.5,45.45333333333333,2025-04-11,2025-04
74,2,5,73.92,21.12,3.5,73.92,2025-04-11,2025-04
76,3,4,112.60666666666665,32.17333333333333,3.5,112.60666666666665,2025-04-11,2025-04
78,5,3,75.6,21.599999999999998,3.5,75.6,2025-04-11,2025-04
80,6,9,51.42666666666667,14.693333333333333,3.5,51.42666666666667,2025-04-11,2025-04
81,7,1,1106.3270638503238,316.09344681437824,3.5,1106.3270638503238,2025-04-12,2025-04
82,2,1,814.234086139963,232.6383103257037,3.5,814.234086139963,2025-04-12,2025-04
84,8,1,45.01,12.86,3.5,45.01,2025-04-12,2025-04
86,9,7,28.956666666666667,8.273333333333333,3.5,28.956666666666667,2025-04-12,2025-04
88,9,7,60.620000000000005,17.32,3.5,60.620000000000005,2025-04-12,2025-04
90,9,7,67.71333333333334,19.346666666666668,3.5,67.71333333333334,2025-04-12,2025-04
92,9,7,75.6,21.599999999999998,3.5,75.6,2025-04-12,2025-04
94,9,7,60.620000000000005,17.32,3.5,60.620000000000005,2025-04-12,2025-04
96,9,7,16.426666666666666,4.693333333333333,3.5,16.426666666666666,2025-04-12,2025-04
98,9,7,112.60666666666665,32.17333333333333,3.5,112.60666666666665,2025-04-12,2025-04
100,9,7,55.90666666666667,15.973333333333334,3.5,55.90666666666667,2025-04-12,2025-04
102,9,7,28.956666666666667,8.273333333333333,3.5,28.956666666666667,2025-04-12,2025-04
104,9,7,2.4033333333333333,0.6866666666666666,3.5,2.4033333333333333,2025-04-12,2025-04
106,9,7,11.433333333333335,3.266666666666667,3.5,11.433333333333335,2025-04-12,2025-04
108,9,7,90.58,25.88,3.5,90.58,2025-04-12,2025-04
110,9,7,86.8,24.8,3.5,86.8,2025-04-12,2025-04
112,9,7,48.25333333333334,13.786666666666667,3.5,48.25333333333334,2025-04-13,2025-04
